concept_id,source_path,artifact_class,field_path,data_type,required,allowed_values,default,description,example,semantic_notes,normalization_notes,confidence
assembler.input.v1.schemaVersion,standards/assembler/assembler.input.schema.v1.json,schema,properties.schemaVersion,integer,true,,,,,json-schema property,derived from schema properties,0.93
assembler.input.v1.bundle,standards/assembler/assembler.input.schema.v1.json,schema,properties.bundle,object,true,,,,,json-schema property,derived from schema properties,0.93
assembler.input.v1.contracts,standards/assembler/assembler.input.schema.v1.json,schema,properties.contracts,object,true,,,,,json-schema property,derived from schema properties,0.93
assembler.input.v1.template,standards/assembler/assembler.input.schema.v1.json,schema,properties.template,object,true,,,,,json-schema property,derived from schema properties,0.93
assembler.input.v1.options,standards/assembler/assembler.input.schema.v1.json,schema,properties.options,object,false,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.schemaVersion,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.schemaVersion,integer,true,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.status,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.status,string,true,OK|PARTIAL|ERROR,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.startedUtc,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.startedUtc,string,true,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.completedUtc,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.completedUtc,string,true,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.bundleId,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.bundleId,"['string', 'null']",false,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.stages,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.stages,array,true,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.issues,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.issues,array,true,,,,,json-schema property,derived from schema properties,0.93
assembler.render-report.v1.outputs,standards/assembler/assembler.render-report.schema.v1.json,schema,properties.outputs,array,false,,,,,json-schema property,derived from schema properties,0.93
bundle.manifest.v1.schemaVersion,standards/bundle.manifest.schema.v1.json,schema,properties.schemaVersion,integer,true,,,,,json-schema property,derived from schema properties,0.93
